name,country,area_type,region,data_type,main_feature,year,download_url,file_type,file_name,inc_file_main,inc_files_to_rename,new_names_for_inc_files
aus_lga_nat_att_erp_2011,Australia,LGA,National,Attribute,ERP by age and sex,2011,http://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&32350ds0010_lga_2011.xls&3235.0&Data%20Cubes&C3BCA7F688812AE0CA257A77001B50D3&0&2011&31.08.2012&Latest,.xls,popbyagesexlga2011,popbyagesexlga2011.xls,,
aus_lga_nat_att_erp_2016,Australia,LGA,National,Attribute,ERP by age and sex,2016,http://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&32350ds0010_lga_2016.xls&3235.0&Data%20Cubes&813D9B189193AEF8CA2581870037A200&0&2016&28.08.2017&Latest,.xls,popbyagesexlga2016,popbyagesexlga2016.xls,,
aus_sa1_nat_att_erp_2017,Australia,SA1,National,Attribute,ERP,2017,http://www.qgso.qld.gov.au/products/tables/erp-sa1-aus-consult/erp-sa1-aus-consult.xlsx,.xlsx,sa1pop2011to2016,sa1pop2011to2016.xlsx,,
aus_sa2_act_att_erp_2016,Australia,SA2,ACT,Attribute,ERP by age and sex 10 yr from 2006,2016,http://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&32350ds0008_act_2006_2016.xls&3235.0&Data%20Cubes&DBDCB69A15ACE428CA2581870037A1A4&0&2016&28.08.2017&Latest,.xls,32350ds0008_act_2006_2016,32350ds0008_act_2006_2016.xls,,
aus_sa2_nsw_att_erp_2016,Australia,SA2,NSW,Attribute,ERP by age and sex 10 yr from 2006,2016,http://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&32350ds0001_nsw_2006_2016.xls&3235.0&Data%20Cubes&B1B34579D31DCE28CA25818700379FFE&0&2016&28.08.2017&Latest,.xls,32350ds0001_nsw_2006_2016,32350ds0001_nsw_2006_2016.xls,,
aus_sa2_nt_att_erp_2016,Australia,SA2,NT,Attribute,ERP by age and sex 10 yr from 2006,2016,http://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&32350ds0007_nt_2006_2016.xls&3235.0&Data%20Cubes&95125A4EEC1196EACA2581870037A186&0&2016&28.08.2017&Latest,.xls,32350ds0007_nt_2006_2016,32350ds0007_nt_2006_2016.xls,,
aus_sa2_qld_att_erp_2016,Australia,SA2,QLD,Attribute,ERP by age and sex 10 yr from 2006,2016,http://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&32350ds0003_qld_2006_2016.xls&3235.0&Data%20Cubes&EAACED0293E3B198CA2581870037A0FA&0&2016&28.08.2017&Latest,.xls,32350ds0003_qld_2006_2016,32350ds0003_qld_2006_2016.xls,,
aus_sa2_sa_att_erp_2016,Australia,SA2,SA,Attribute,ERP by age and sex 10 yr from 2006,2016,http://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&32350ds0004_sa_2006_2016.xls&3235.0&Data%20Cubes&822B92B8B4938587CA2581870037A121&0&2016&28.08.2017&Latest,.xls,32350ds0004_sa_2006_2016,32350ds0004_sa_2006_2016.xls,,
aus_sa2_tas_att_erp_2016,Australia,SA2,TAS,Attribute,ERP by age and sex 10 yr from 2006,2016,http://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&32350ds0006_tas_2006_2016.xls&3235.0&Data%20Cubes&C80603699D18C242CA2581870037A167&0&2016&28.08.2017&Latest,.xls,32350ds0006_tas_2006_2016,32350ds0006_tas_2006_2016.xls,,
aus_sa2_vic_att_erp_2016,Australia,SA2,VIC,Attribute,ERP by age and sex 10 yr from 2006,2016,http://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&32350ds0002_vic_2006_2016.xls&3235.0&Data%20Cubes&3DFEF9473FC42D41CA2581870037A0CE&0&2016&28.08.2017&Latest,.xls,32350ds0002_vic_2006_2016,32350ds0002_vic_2006_2016.xls,,
aus_sa2_wa_att_erp_2016,Australia,SA2,WA,Attribute,ERP by age and sex 10 yr from 2006,2016,http://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&32350ds0005_wa_2006_2016.xls&3235.0&Data%20Cubes&F6D5D1FA0212EFCACA2581870037A146&0&2016&28.08.2017&Latest,.xls,32350ds0005_wa_2006_2016,32350ds0005_wa_2006_2016.xls,,
